SCHOOL_YEAR,STATE_NAME,LEAID,LEA_NAME,DATA_GROUP_ID,DENOMINATOR,NUMERATOR,TEXT_VALUE,NUMERIC_VALUE,SUBGROUP
2022-2023,ALABAMA,0101690,Guntersville City,814PCT,1787,467,26.1%,26.1,ALLLEA
2022-2023,ALABAMA,0101710,Hale County,814PCT,2188,435,19.9%,19.9,ALLLEA
2022-2023,ALABAMA,0101720,Haleyville City,814PCT,1573,279,17.7%,17.7,ALLLEA
2022-2023,ALABAMA,0101730,Hartselle City,814PCT,3481,553,15.9%,15.9,ALLLEA
2022-2023,ALABAMA,0101740,Henry County,814PCT,2455,448,18.2%,18.2,ALLLEA
2022-2023,ALABAMA,0101760,Homewood City,814PCT,4341,375,8.6%,8.6,ALLLEA
2022-2023,ALABAMA,0101770,Houston County,814PCT,6734,1111,16.5%,16.5,ALLLEA
2022-2023,ALABAMA,0101800,Huntsville City,814PCT,22858,5441,23.8%,23.8,ALLLEA
2022-2023,ALABAMA,0101830,Jackson County,814PCT,4962,983,19.8%,19.8,ALLLEA
2022-2023,ALABAMA,0101860,Jacksonville City,814PCT,1715,340,19.8%,19.8,ALLLEA
2022-2023,ALABAMA,0101890,Jasper City,814PCT,2695,458,17.0%,17,ALLLEA
2022-2023,ALABAMA,0101920,Jefferson County,814PCT,34987,7756,22.2%,22.2,ALLLEA
2022-2023,ALABAMA,0101950,Lamar County,814PCT,2138,354,16.6%,16.6,ALLLEA
2022-2023,ALABAMA,0101980,Lanett City,814PCT,931,252,27.1%,27.1,ALLLEA
